,slide,initialAOI,fixationTime,correctedAOI,Transition
602,11.bmp,1,0.3775,1,Surface
603,11.bmp,5,0.328,4,Invalid
604,11.bmp,6,0.26315,6,Invalid
605,11.bmp,9,0.2626,9,Surface
606,11.bmp,3,0.24655,7,Invalid
607,11.bmp,2,0.32855,5,Invalid
608,11.bmp,4,0.59134,2,Invalid
609,11.bmp,3,0.21347,7,Surface
610,11.bmp,1,0.34518,1,Surface
611,11.bmp,2,0.21365,5,Invalid
612,11.bmp,1,0.86975,1,Invalid
613,11.bmp,4,0.65832,2,Surface
614,11.bmp,2,0.29587,5,Invalid
615,11.bmp,6,0.27914,6,Surface
616,11.bmp,8,0.22989,3,Invalid
617,11.bmp,9,0.36057,9,Invalid
618,11.bmp,2,0.64056,5,Surface
619,11.bmp,4,0.46097,2,Invalid
620,11.bmp,7,0.23004,8,Invalid
621,11.bmp,5,0.49286,4,Surface
622,11.bmp,8,0.22986,3,Surface
623,11.bmp,6,0.26227,6,Invalid
624,11.bmp,3,0.7031,7,Invalid
625,11.bmp,4,0.54236,2,Surface
626,11.bmp,2,0.26288,5,Invalid
627,11.bmp,5,0.24646,4,Invalid
